Year,Quarter,Period of coverage,Person level weight used,Breakdown,Level,Employment rate of people with long-term conditions,Employment rate of population ,Indicator value,Long-term condition numerator,Long-term condition denominator,Population numerator,Population denominator
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Plymouth UA,54.2,63.1,9,43400,80100,110000,174200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Poole UA,79.4,80.7,1.2,20200,25400,71300,88400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Portsmouth,67.3,71.1,3.8,29800,44200,100800,141800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Reading,73.6,81.6,8,16600,22500,93100,114100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Redbridge,61.7,70.7,9,25100,40700,123200,174100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Redcar and Cleveland UA,61.4,71.7,10.3,21100,34400,58900,82100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Richmond upon Thames,67.5,79.4,12,16000,23800,112700,141800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Rochdale,46.4,60.8,14.4,20200,43600,78800,129700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Rotherham,46.3,65.2,18.9,26000,56100,101400,155500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Rutland UA,57.5,80.5,23,3600,6300,18100,22500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Salford,48.7,63.4,14.7,24800,50900,98700,155700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Sandwell,49.4,66.1,16.7,28500,57700,137000,207200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Sefton,54.5,70.2,15.7,28700,52600,114100,162600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Sheffield,57.6,71.2,13.6,71200,123600,273300,383600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Shropshire,72.9,75.7,2.8,37600,51600,132500,175100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Slough,50.4,63.1,12.8,10200,20200,57500,91100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Solihull,72.6,75,2.3,23500,32300,101600,135600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Somerset,68.3,78.3,10.1,61400,89900,239200,305400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,South Gloucestershire UA,69.1,77.3,8.2,33300,48100,142500,184400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,South Tyneside,55.9,69.7,13.8,20100,35900,79600,114200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Southampton,64.3,69.4,5.1,30000,46700,113500,163500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Southend-on-Sea UA,54,71,17,14000,25800,68600,96600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Southwark,54,66.7,12.8,26300,48700,141200,211600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,St. Helens,61.2,73.5,12.4,20800,34000,82100,111700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Staffordshire,60.7,75.5,14.8,92700,152700,377600,500200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Stockport,65.8,80.4,14.7,35000,53200,148200,184300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Stockton-on-Tees UA,56.9,71.3,14.4,21500,37800,88100,123500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Stoke-on-Trent UA,36.8,61.1,24.3,17700,48000,93000,152200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Suffolk,61.6,73.9,12.3,82300,133600,332000,449200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Sunderland,50.3,67.9,17.6,35700,71000,132200,194700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Surrey,68.1,77,9,117100,172100,561100,728500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Sutton,78.4,82.7,4.3,21600,27500,103200,124800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Swindon UA,58,75.5,17.5,23900,41200,100800,133400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Tameside,38.5,63.5,24.9,18300,47600,83800,132100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Telford and Wrekin UA,50.2,72.4,22.2,15700,31300,83400,115100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Thurrock UA,55.2,72.1,16.9,10900,19800,69400,96300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Torbay UA,54.3,66.6,12.3,12700,23400,48500,72800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Tower Hamlets,44.2,65,20.7,19300,43600,129800,199700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Trafford,58.5,77.5,19,25200,43000,110600,142600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Wakefield,61.9,73.3,11.4,36700,59300,154200,210300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Walsall,41.6,58.1,16.5,21900,52800,97800,168400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Waltham Forest,62.2,68.3,6.1,25000,40100,108400,158600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Wandsworth,60.4,79.8,19.4,17800,29500,163500,204900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Warrington UA,64.5,78.1,13.5,22900,35500,100300,128500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Warwickshire,62.7,78.3,15.7,57400,91600,260100,332000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,West Berkshire,77.3,82.7,5.4,11100,14400,81100,98000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,West Sussex,68.9,79.5,10.5,94100,136500,378100,475700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Westminster,42.4,67.1,24.8,23600,55700,143900,214400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Wigan,53.5,68.1,14.6,24300,45500,128900,189400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Wiltshire,61.8,75.4,13.6,42600,68900,204200,270700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Windsor and Maidenhead,78,85.5,7.6,15600,20000,84600,99000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Wirral,46.9,66.6,19.7,29500,62800,132000,198200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Wokingham,75.5,79.4,3.9,17900,23700,92500,116500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Wolverhampton,44.9,63.9,18.9,18300,40800,86900,135900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Worcestershire,69.5,77.3,7.9,65600,94500,273500,353700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,York UA,68,76.2,8.2,26400,38900,101200,132900
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Barking and Dagenham,47.2,58.1,11,14900,31600,63000,108500
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Barnet,71.5,78.3,6.8,31900,44600,170100,217200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Barnsley,59.8,70.7,10.9,31700,53100,110400,156100
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Bath and North East Somerset UA,76,79.8,3.8,20500,26900,81300,101800
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Bedfordshire,69.1,76.3,7.3,57800,83600,204400,267800
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Bexley,61.6,69.2,7.6,25600,41600,101200,146300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Birmingham,45.2,60.3,15.1,94000,208200,404900,671600
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Blackburn with Darwen UA,49.3,63.7,14.4,16400,33300,59100,92700
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Blackpool UA,52.1,62.7,10.6,11900,22900,49300,78600
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Bolton,57.3,69.6,12.3,31200,54500,118300,169800
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Bournemouth UA,76.1,82.6,6.4,19800,26000,96400,116700
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Bracknell Forest UA,80,80.2,0.2,14300,17800,62800,78400
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Bradford,56.8,65.8,9,58400,102800,218900,332800
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Brent,50.6,62.7,12.2,16600,32900,110600,176300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Brighton and Hove UA,63.8,80.8,17,35000,54800,143700,177700
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Bromley,75.8,76.5,0.7,40600,53500,161400,210900
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Buckinghamshire,64.9,76.9,12,54100,83300,248100,322400
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Bury,60.2,72.8,12.7,24900,41400,77900,107000
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Calderdale,66.7,71.7,5,27500,41300,102300,142600
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Cambridgeshire,70.7,77.4,6.7,78800,111400,318900,411800
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Camden,40.4,60.5,20.2,18000,44600,99700,164800
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Cheshire,59.5,73.7,14.2,66300,111500,312500,424000
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,City of Bristol UA,56.8,72,15.2,48200,84900,225200,312900
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,City of Kingston upon Hull UA,42.4,66.8,24.3,21700,51100,118500,177500
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Cornwall and the Isles of Scilly,52.8,70.1,17.2,54500,103200,233400,333200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,County of Herefordshire UA,66.2,74.6,8.4,15700,23800,81700,109500
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Coventry,45.4,61.8,16.4,20200,44500,112600,182300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Croydon,69.8,75.8,6,44500,63800,190100,250900
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Cumbria,55.6,73.9,18.3,50300,90600,222100,300600
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Darlington UA,78.6,72.9,-5.7,16000,20300,52400,71800
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Derby UA,52.5,69.5,17,30200,57500,124600,179300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Derbyshire,65.1,74.3,9.2,102100,156900,372200,501100
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Devon,63.6,76.3,12.8,71900,113100,333300,436600
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Doncaster,58.6,71.9,13.3,39000,66500,135200,188000
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Dorset,73.5,78.8,5.3,48500,66000,176500,223900
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Dudley,53.7,69.1,15.4,32700,61000,132300,191500
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Durham,52,69.4,17.4,53900,103700,218700,315000
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Ealing,53.5,66.6,13.1,33300,62300,134800,202300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,East Riding of Yorkshire UA,58.5,73.8,15.3,33700,57600,156200,211500
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,East Sussex,59.5,72.4,12.9,59100,99400,218900,302300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Enfield,52.3,64.9,12.6,29400,56100,124800,192500
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Essex,63.9,75.9,11.9,163200,255300,675400,890100
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Gateshead,52.5,63.6,11.1,26300,50200,80200,126200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Gloucestershire,68.2,75.9,7.7,75200,110300,291400,384200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Greenwich,54.2,67.3,13.1,27000,49900,108700,161400
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Hackney,50.8,65.7,15,16900,33200,107700,163900
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Halton UA,32.5,60.2,27.7,7100,21700,42300,70300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Hammersmith and Fulham,55.2,71.3,16,9400,17000,81300,114100
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Hampshire,67.9,77.6,9.7,156500,230700,630900,813300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Haringey,43.8,63.3,19.5,13400,30700,96000,151700
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Harrow,50.9,64.7,13.7,19000,37200,97600,150900
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Hartlepool UA,37.7,58.6,20.9,9700,25700,37500,64000
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Havering,56.1,70.6,14.5,20400,36500,110300,156200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Hertfordshire,65.6,77.3,11.7,117200,178500,568300,735200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Hillingdon,54.9,72.8,17.9,24300,44300,132300,181700
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Hounslow,60.4,74.5,14.1,18700,30900,121900,163600
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Isle of Wight UA,57.6,71.9,14.3,14400,25100,58400,81200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Islington,51.8,70,18.2,18100,34900,106700,152300
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Kensington and Chelsea,49.3,68.4,19.1,9800,19900,77300,113000
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Kent,59.5,73.7,14.1,162500,272900,654400,888200
2013,3,01/07/2013 to 30/09/2013,2011 person level weights,Unitary authority / local area,Kingston upon Thames,59.6,68.5,8.9,21200,35600,84500,123400
